每半小时时间,城市,区县,订单量,是否节假日,天气,GDP,常驻人口
2019/10/17 0:00,南京市,六合区,6613,0,Partly cloudy,500,60
2019/10/17 0:00,南京市,建邺区,1156,0,Partly cloudy,500,30
2019/10/17 0:00,南京市,栖霞区,3128,0,Partly cloudy,1000,80
2019/10/17 0:00,南京市,江宁区,8331,0,Partly cloudy,2100,130
2019/10/17 0:00,南京市,浦口区,10775,0,Partly cloudy,400,40
2019/10/17 0:00,南京市,溧水区,2984,0,Partly cloudy,400,50
2019/10/17 0:00,南京市,玄武区,1634,0,Partly cloudy,1200,60
2019/10/17 0:00,南京市,秦淮区,2868,0,Partly cloudy,800,50
2019/10/17 0:00,南京市,雨花台区,2117,0,Partly cloudy,500,40
2019/10/17 0:00,南京市,高淳区,794,0,Partly cloudy,600,43
2019/10/17 0:00,南京市,鼓楼区,2304,0,Partly cloudy,1600,90
2019/10/17 0:30,南京市,六合区,6246,0,Partly cloudy,500,60
2019/10/17 0:30,南京市,建邺区,1070,0,Partly cloudy,500,30
2019/10/17 0:30,南京市,栖霞区,2886,0,Partly cloudy,1000,80
2019/10/17 0:30,南京市,江宁区,9238,0,Partly cloudy,2100,130
2019/10/17 0:30,南京市,浦口区,9204,0,Partly cloudy,400,40
2019/10/17 0:30,南京市,溧水区,2776,0,Partly cloudy,400,50
2019/10/17 0:30,南京市,玄武区,1679,0,Partly cloudy,1200,60
2019/10/17 0:30,南京市,秦淮区,2850,0,Partly cloudy,800,50
2019/10/17 0:30,南京市,雨花台区,3001,0,Partly cloudy,500,40
2019/10/17 0:30,南京市,高淳区,807,0,Partly cloudy,600,43
2019/10/17 0:30,南京市,鼓楼区,1226,0,Partly cloudy,1600,90
2019/10/17 1:00,南京市,六合区,5869,0,Partly cloudy,500,60
2019/10/17 1:00,南京市,建邺区,580,0,Partly cloudy,500,30
2019/10/17 1:00,南京市,栖霞区,2757,0,Partly cloudy,1000,80
2019/10/17 1:00,南京市,江宁区,7779,0,Partly cloudy,2100,130
2019/10/17 1:00,南京市,浦口区,8864,0,Partly cloudy,400,40
2019/10/17 1:00,南京市,溧水区,3088,0,Partly cloudy,400,50
2019/10/17 1:00,南京市,玄武区,1610,0,Partly cloudy,1200,60
2019/10/17 1:00,南京市,秦淮区,3064,0,Partly cloudy,800,50
2019/10/17 1:00,南京市,雨花台区,2101,0,Partly cloudy,500,40
2019/10/17 1:00,南京市,高淳区,558,0,Partly cloudy,600,43
2019/10/17 1:00,南京市,鼓楼区,1144,0,Partly cloudy,1600,90
2019/10/17 1:30,南京市,六合区,6033,0,Partly cloudy,500,60
2019/10/17 1:30,南京市,建邺区,765,0,Partly cloudy,500,30
2019/10/17 1:30,南京市,栖霞区,2890,0,Partly cloudy,1000,80
2019/10/17 1:30,南京市,江宁区,7725,0,Partly cloudy,2100,130
2019/10/17 1:30,南京市,浦口区,8150,0,Partly cloudy,400,40
2019/10/17 1:30,南京市,溧水区,3542,0,Partly cloudy,400,50
2019/10/17 1:30,南京市,玄武区,1371,0,Partly cloudy,1200,60
2019/10/17 1:30,南京市,秦淮区,1820,0,Partly cloudy,800,50
2019/10/17 1:30,南京市,雨花台区,1692,0,Partly cloudy,500,40
2019/10/17 1:30,南京市,高淳区,559,0,Partly cloudy,600,43
2019/10/17 1:30,南京市,鼓楼区,2365,0,Partly cloudy,1600,90
2019/10/17 2:00,南京市,六合区,4991,0,Partly cloudy,500,60
2019/10/17 2:00,南京市,建邺区,850,0,Partly cloudy,500,30
2019/10/17 2:00,南京市,栖霞区,2265,0,Partly cloudy,1000,80
2019/10/17 2:00,南京市,江宁区,7070,0,Partly cloudy,2100,130
2019/10/17 2:00,南京市,浦口区,8387,0,Partly cloudy,400,40
2019/10/17 2:00,南京市,溧水区,2997,0,Partly cloudy,400,50
2019/10/17 2:00,南京市,玄武区,979,0,Partly cloudy,1200,60
2019/10/17 2:00,南京市,秦淮区,1697,0,Partly cloudy,800,50
2019/10/17 2:00,南京市,雨花台区,1842,0,Partly cloudy,500,40
2019/10/17 2:00,南京市,高淳区,553,0,Partly cloudy,600,43
2019/10/17 2:00,南京市,鼓楼区,1479,0,Partly cloudy,1600,90
2019/10/17 2:30,南京市,六合区,4643,0,Partly cloudy,500,60
2019/10/17 2:30,南京市,建邺区,869,0,Partly cloudy,500,30
2019/10/17 2:30,南京市,栖霞区,2283,0,Partly cloudy,1000,80
2019/10/17 2:30,南京市,江宁区,6398,0,Partly cloudy,2100,130
2019/10/17 2:30,南京市,浦口区,9059,0,Partly cloudy,400,40
2019/10/17 2:30,南京市,溧水区,3055,0,Partly cloudy,400,50
